db,country,site,latitude,longitude
darling_etal_2019,American Samoa,Alofau_Reef flats,-14.28166667,-170.605
darling_etal_2019,American Samoa,Amaua_Reef flats,-14.27833333,-170.6216667
darling_etal_2019,American Samoa,Amaua_Reef slope,-14.27363333,-170.6218667
darling_etal_2019,American Samoa,Aoa_Reef flats,-14.26333333,-170.5883333
darling_etal_2019,American Samoa,Aoa_Reef slope,-14.2579,-170.5888667
darling_etal_2019,American Samoa,Aunuu_Reef slope,-14.2846,-170.5636333
darling_etal_2019,American Samoa,Coconut_Reef slope,-14.32,-170.695
darling_etal_2019,American Samoa,Faga_Reef flats,-14.29833333,-170.6816667
darling_etal_2019,American Samoa,Fagaalu_Reef slope,-14.29006667,-170.6766333
darling_etal_2019,American Samoa,Fagamalo_Reef slope,-14.29786667,-170.8121
darling_etal_2019,American Samoa,Fagasa_Reef flats,-14.29166667,-170.725
darling_etal_2019,American Samoa,Fagasa_Reef slope,-14.2836,-170.72305
darling_etal_2019,American Samoa,Fagatele_Reef flats,-14.36833333,-170.7583333
darling_etal_2019,American Samoa,Fagatele_Reef slope,-14.36431667,-170.76255
darling_etal_2019,American Samoa,Gataivai_Reef flats,-14.28833333,-170.68
darling_etal_2019,American Samoa,Leone_Reef flats,-14.34333333,-170.785
darling_etal_2019,American Samoa,Leone_Reef slope,-14.34223333,-170.7889833
darling_etal_2019,American Samoa,Tafeu_Reef slope,-14.25181667,-170.6892333
darling_etal_2019,American Samoa,Vatia_Reef flats,-14.255,-170.67
darling_etal_2019,American Samoa,Vatia_Reef slope,-14.24813333,-170.6700833
uq_photoquadrat,Anguilla,uq_25018,18.169235,-63.08551167
uq_photoquadrat,Anguilla,uq_25019,18.1867083,-63.05478
uq_photoquadrat,Anguilla,uq_25020,18.207655,-63.017585
uq_photoquadrat,Anguilla,uq_25021,18.2742583,-63.09004333
uq_photoquadrat,Anguilla,uq_25022,18.26539,-63.10601833
uq_photoquadrat,Anguilla,uq_25023,18.2608183,-63.167885
uq_photoquadrat,Anguilla,uq_25024,18.2143917,-63.11957167
uq_photoquadrat,Anguilla,uq_25025,18.2929833,-62.95491667
uq_photoquadrat,Anguilla,uq_25026,18.2847933,-62.93577167
uq_photoquadrat,Anguilla,uq_25027,18.2694117,-62.95758833
uq_photoquadrat,Anguilla,uq_25028,18.2796667,-63.23139
uq_photoquadrat,Anguilla,uq_25029,18.2699117,-63.25789833
uq_photoquadrat,Anguilla,uq_25030,18.2876067,-63.26249667
uq_photoquadrat,Anguilla,uq_25031,18.2635667,-63.0155
uq_photoquadrat,Anguilla,uq_25032,18.2577267,-63.034675
uq_photoquadrat,Aruba,uq_17006,12.45051,-69.957728
uq_photoquadrat,Aruba,uq_17050,12.492546,-70.022899
uq_photoquadrat,Aruba,uq_17051,12.4699596,-69.98703808
darling_etal_2019,Australia,1-WestofBluebellIsand,-20.40087334,115.500352
darling_etal_2019,Australia,10-AhChongChannel,-20.5083,115.54345000000001
darling_etal_2019,Australia,11-WestofAhChongIs,-20.50629,115.56466
darling_etal_2019,Australia,12-ShelfSlopeEastofBlackRk.,-20.5551125,115.5725
darling_etal_2019,Australia,13,-20.556085,115.571925
darling_etal_2019,Australia,14-ShelfSlopeNEofBrindledIs,-20.62876633,115.5833
darling_etal_2019,Australia,15-SofVaranusIs,-20.71902351,115.5774108
darling_etal_2019,Australia,16-SELowendalShelf,-20.78455251,115.52529
darling_etal_2019,Australia,17-ELowendalShelf,-20.75616001,115.5743925
darling_etal_2019,Australia,18-SouthLowendalShelf,-20.783575,115.500025
darling_etal_2019,Australia,19-InsideWonnichReef,-20.51,115.4776
darling_etal_2019,Australia,1a,-20.401340480000002,115.5007138
darling_etal_2019,Australia,2-PittPtTrimouilleIs,-20.38758486,115.5644492
darling_etal_2019,Australia,20-EastDugongReef,-20.9024,115.461725
darling_etal_2019,Australia,21-CentralDugongReef,-20.8999625,115.4512075
darling_etal_2019,Australia,23-SouthBatmanReef,-20.9256,115.4652227
darling_etal_2019,Australia,24-NorthBatmanReef,-20.94784001,115.4625857
darling_etal_2019,Australia,25-NorthernBarrowIsandShoals,-20.99483999,115.4799
darling_etal_2019,Australia,26-CentralEastBarrowIsandShoals,-21.07752207,115.5133309
darling_etal_2019,Australia,27-WestLowendalShelf,-20.80421667,115.4811
darling_etal_2019,Australia,28-SEDugongReef,-20.90775,115.462225
darling_etal_2019,Australia,29-NorthDoubleIsand,-20.81835,115.494447
darling_etal_2019,Australia,31-SEBarrowIsandShoals,-21.0461475,115.47076
darling_etal_2019,Australia,32-LNG3,-20.8597777,115.4916
darling_etal_2019,Australia,4-NorthBunsenChannel,-20.3688,115.5256
darling_etal_2019,Australia,5-SackBayNorthWestIs,-20.39475,115.54215
darling_etal_2019,Australia,6-BenedictineBayTrimouilleIs,-20.40545,115.5818
darling_etal_2019,Australia,7-SouthernEndofWestReef,-20.45270947,115.4783627
darling_etal_2019,Australia,8-StephensonChannel,-20.46618,115.54688
darling_etal_2019,Australia,80 Acres,-25.54564333,113.5288333
darling_etal_2019,Australia,9-ShoalsSouthofKarangiIs,-20.45112999,115.60535
darling_etal_2019,Australia,Agincourt 1,-16.0567,145.8667
darling_etal_2019,Australia,Agincourt 2a,-16.0215,145.8484
darling_etal_2019,Australia,Agincourt 2d,-16.039,145.8328
darling_etal_2019,Australia,Agincourt 2d Control,-16.0361,145.8354
darling_etal_2019,Australia,Agincourt 3,-15.9823,145.8226
darling_etal_2019,Australia,Agincourt 3 Control,-15.9899,145.826
darling_etal_2019,Australia,Agincourt 4,-15.9701,145.8201
darling_etal_2019,Australia,Aquariumwall_sthHorsburgh_20m,-12.08226976,96.83171924
darling_etal_2019,Australia,Aquariumwall_sthHorsburgh_5m,-12.08226976,96.83171924
darling_etal_2019,Australia,B1,-20.1616,149.0205
darling_etal_2019,Australia,B2,-20.1818,149.0363
darling_etal_2019,Australia,B3,-20.1789,149.0409
darling_etal_2019,Australia,B4,-20.161,149.0396
darling_etal_2019,Australia,B5,-20.1548,149.0349
darling_etal_2019,Australia,B6,-20.1558,149.0264
darling_etal_2019,Australia,Bait Reef 2,-19.8111,149.0637
darling_etal_2019,Australia,Bar Flats,-25.8518443,113.3480128
darling_etal_2019,Australia,BL1,-20.0781,148.8945
darling_etal_2019,Australia,BL2,-20.0782,148.8903
darling_etal_2019,Australia,Black Rock,-30.948371,153.076078
darling_etal_2019,Australia,BrambleShelteredFlat3,-18.447778,146.729444
darling_etal_2019,Australia,Broadhurst Reef,-25.63384488,113.3727344
darling_etal_2019,Australia,Bruboodjoo,-22.94475667,113.7788233
darling_etal_2019,Australia,Bundegi,-21.82721,114.17987
darling_etal_2019,Australia,Bundegi SZ North,-21.8559,114.16743
darling_etal_2019,Australia,Bundegi SZ South,-21.87139,114.15723
darling_etal_2019,Australia,Bundera,-22.39953,113.7417967
darling_etal_2019,Australia,C1,-18.6786,146.5518
darling_etal_2019,Australia,C2,-18.6712,146.5496
darling_etal_2019,Australia,C3,-18.6749,146.544
darling_etal_2019,Australia,C4,-18.6536,146.5415
darling_etal_2019,Australia,C6,-18.6858,146.5607
darling_etal_2019,Australia,Cabbage Tree Island,-32.686,152.2225
darling_etal_2019,Australia,Cape Farquhar,-23.62267,113.6158933
darling_etal_2019,Australia,Centrallagoonsite1_5m,-12.14573333,96.85423333
darling_etal_2019,Australia,CLA_20m,-10.42033333,105.6725333
darling_etal_2019,Australia,CLA_5m,-10.42033333,105.6725333
darling_etal_2019,Australia,Cleft Rock,-24.80740633,113.166442
darling_etal_2019,Australia,Clerke 11,-17.34537785,119.3508777
darling_etal_2019,Australia,Clerke 12,-17.30386828,119.3357688
darling_etal_2019,Australia,Clerke 13,-17.31156622,119.3678596
darling_etal_2019,Australia,Clerke 14,-17.28344341,119.3733325
darling_etal_2019,Australia,Clerke 1B,-17.24608748,119.3513938
darling_etal_2019,Australia,Clerke 20,-17.30796132,119.3713599
darling_etal_2019,Australia,Clerke 21,-17.3202739,119.3607558
darling_etal_2019,Australia,Clerke 25,-17.31521058,119.3679473
darling_etal_2019,Australia,Clerke 26,-17.29812,119.3419169
darling_etal_2019,Australia,Clerke 27,-17.31331354,119.3783589
darling_etal_2019,Australia,Clerke 28,-17.29902773,119.37575
darling_etal_2019,Australia,Clerke 29,-17.29164,119.3585282
darling_etal_2019,Australia,Clerke 9,-17.3568108,119.3834
darling_etal_2019,Australia,Clerke 9 deep,-17.35655749,119.3842002
darling_etal_2019,Australia,CLERKE RS2 1 WA,-17.28428333,119.3769167
darling_etal_2019,Australia,CLERKE RS2 2 WA,-17.28801667,119.3775
darling_etal_2019,Australia,CLERKE RS2 3 WA,-17.29266667,119.3781333
darling_etal_2019,Australia,Cloates,-22.86320667,113.76004
darling_etal_2019,Australia,Cook Island,-28.19627,153.57632
darling_etal_2019,Australia,Coral Bay,-23.13059,113.75322
darling_etal_2019,Australia,D1,-20.1554,149.0715
